seed,active_valid_horizon_time,zero_weight_valid_horizon_time,paired_difference_active_minus_zero,active_valid_relative_l2_mean,zero_weight_valid_relative_l2_mean,active_finite_relative_l2_fraction,zero_weight_finite_relative_l2_fraction
9301101,20.700000000000003,19.200000000000003,1.5,27.508499145507812,48.1476936340332,0.108,0.1354
9301102,20.3,16.5,3.8000000000000007,46.585594177246094,41.137062072753906,0.0946,0.0946
9301103,12.3,12.700000000000001,-0.40000000000000036,35.092342376708984,23.999788284301758,0.0744,0.1274
9301104,21.8,14.200000000000001,7.6,29.015457153320312,29.568519592285156,0.128,0.1182
9301105,11.4,16.3,-4.9,32.003108978271484,37.49407958984375,0.1064,0.088
9301106,11.100000000000001,12.0,-0.8999999999999986,36.959285736083984,59.621551513671875,0.0898,0.0728
9301107,16.2,14.100000000000001,2.099999999999998,43.032474517822266,36.08980178833008,0.1026,0.0886
9301108,20.5,14.8,5.699999999999999,41.859580993652344,38.115509033203125,0.1138,0.0698
9301109,14.600000000000001,18.3,-3.6999999999999993,47.034385681152344,21.896556854248047,0.0862,0.1224
9301110,21.3,15.0,6.300000000000001,34.24765396118164,41.32462692260742,0.0834,0.1074
9301111,17.400000000000002,11.3,6.100000000000001,23.806203842163086,30.442655563354492,0.1402,0.1404
9301112,23.1,15.5,7.600000000000001,25.980527877807617,20.637596130371094,0.0872,0.1158
9301113,20.400000000000002,19.6,0.8000000000000007,42.28030014038086,31.64929962158203,0.0972,0.1178
9301114,19.8,12.9,6.9,59.863956451416016,37.0974235534668,0.0858,0.0936
9301115,8.5,8.3,0.1999999999999993,52.153682708740234,35.93875503540039,0.0408,0.048
