case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,context_steps,delay_spacing,ridge_alpha,feature_set,quadratic_mode,include_bias,valid_relative_l2_horizon_time
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,1,ok,16,1,0.005788258708006648,full,diagonal,False,86.0
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,2,ok,13,1,0.0002590771630619118,full,diagonal,False,153.1
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,3,ok,13,3,1.6554310213764179e-06,full,diagonal,True,266.2
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,4,ok,16,1,0.00013848418909184586,linear_quadratic,diagonal,False,197.5
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,5,ok,17,2,0.0002308040578274157,linear_quadratic,diagonal,False,254.0
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,6,ok,11,3,0.004130122896249723,linear_quadratic,diagonal,False,248.10000000000002
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,7,ok,13,1,1.8684837120905343e-05,linear_quadratic,diagonal,False,204.20000000000002
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,8,ok,18,3,0.0036615406689457165,linear_quadratic,diagonal,False,212.5
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,9,ok,18,1,2.7281706261471275e-05,full,diagonal,True,318.0
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,10,ok,14,3,5.5248691709069245e-05,full,diagonal,True,271.3
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,11,ok,15,2,2.3251664370848793e-05,full,diagonal,False,197.0
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,12,ok,11,3,0.00013221582812374835,linear_quadratic,diagonal,False,210.3
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,13,ok,12,2,8.79064156450282e-05,linear_quadratic,diagonal,False,261.8
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,14,ok,18,2,0.003273067300613498,full,diagonal,True,201.0
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,15,ok,17,2,6.115192516226013e-06,linear_quadratic,diagonal,False,269.40000000000003
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,16,ok,14,3,5.357790864509533e-06,linear_quadratic,diagonal,False,258.8
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,17,ok,14,1,0.0014582348232469672,full,diagonal,False,87.7
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,18,ok,14,2,0.0022529240985972865,linear_quadratic,diagonal,False,201.8
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,19,ok,18,1,3.692197970491769e-06,linear_quadratic,diagonal,False,237.9
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,20,ok,13,2,0.0015546755397585726,full,diagonal,True,227.8
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,21,ok,15,3,0.0010028796386446174,full,diagonal,False,160.8
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,22,ok,10,1,0.0005350597687061355,full,diagonal,False,121.30000000000001
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,23,ok,17,3,0.004505807911196,full,diagonal,True,160.60000000000002
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,24,ok,18,2,0.00011419238474428065,linear_quadratic,diagonal,True,267.3
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,25,ok,11,3,9.218229821217577e-06,full,diagonal,False,216.4
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,26,ok,10,3,6.703375024084953e-05,full,diagonal,True,252.5
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,27,ok,11,2,0.0025162157511478957,linear_quadratic,diagonal,True,210.9
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,28,ok,13,2,0.0002517271682590354,full,diagonal,False,209.9
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,29,ok,13,2,0.0016635931795234693,full,diagonal,False,119.2
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,30,ok,14,3,2.0682482128036343e-06,full,diagonal,False,270.3
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,31,ok,18,1,0.0001250835994723735,full,diagonal,True,262.90000000000003
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,32,ok,17,1,0.00012629988791611413,full,diagonal,True,263.1
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,33,ok,17,1,0.00013197873818940288,full,diagonal,True,263.0
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,34,ok,18,1,0.0001562191222902558,full,diagonal,True,262.1
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,35,ok,18,1,0.00019575877969408922,full,diagonal,True,237.60000000000002
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,36,ok,18,1,0.00022343638922933128,full,diagonal,True,237.3
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,37,ok,16,1,2.9305649652128352e-05,full,diagonal,True,273.90000000000003
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,38,ok,16,1,1.761781921008423e-05,full,diagonal,True,303.0
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,39,ok,12,1,1.749985981238393e-05,full,diagonal,True,295.7
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,40,ok,11,1,2.0194561785318277e-05,full,diagonal,True,273.8
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,41,ok,16,1,1.4371040688340126e-05,linear_quadratic,diagonal,True,269.2
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,42,ok,16,1,1.0754904656725664e-05,linear_quadratic,diagonal,True,270.0
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,43,ok,10,1,2.6489605297728244e-05,linear_quadratic,diagonal,True,254.10000000000002
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,44,ok,18,3,1.794933807848854e-05,full,diagonal,True,248.20000000000002
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,45,ok,16,1,0.0002389980605047346,full,diagonal,True,262.5
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,46,ok,18,1,2.7073375519510547e-05,full,diagonal,True,330.3
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,47,ok,18,1,2.3881282925052747e-05,full,diagonal,True,296.8
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,48,ok,18,1,2.695331382359898e-05,full,diagonal,True,343.1
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,49,ok,18,1,2.76096922155683e-05,full,diagonal,True,314.8
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,50,ok,18,1,2.680522375015917e-05,full,diagonal,True,365.90000000000003
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,51,ok,18,2,2.6800632779454676e-05,full,diagonal,True,271.3
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,52,ok,18,3,2.8000344230862927e-05,full,diagonal,True,248.60000000000002
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,53,ok,18,3,2.6976596184467304e-05,linear_quadratic,diagonal,True,273.0
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,54,ok,18,1,2.724484121959293e-05,full,diagonal,True,318.90000000000003
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,55,ok,18,1,2.682497156161552e-05,linear_quadratic,diagonal,True,268.2
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,56,ok,18,1,2.688237748156889e-05,full,diagonal,True,344.1
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,57,ok,18,2,2.6917513571568017e-05,linear_quadratic,diagonal,True,272.7
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,58,ok,16,1,2.7117867335586407e-05,full,diagonal,True,274.3
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,59,ok,18,1,2.6906876322856883e-05,linear_quadratic,diagonal,True,268.2
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,60,ok,18,1,2.615172705675115e-05,full,diagonal,True,374.8
