case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,context_steps,delay_spacing,ridge_alpha,feature_set,quadratic_mode,include_bias,valid_relative_l2_horizon_time
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,1,ok,10,1,5.849909667534508e-06,full,diagonal,False,161.10000000000002
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,2,ok,14,2,1.2570913717622519e-05,full,diagonal,True,271.3
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,3,ok,15,1,0.0003600115184550568,full,diagonal,False,161.8
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,4,ok,11,1,0.004398128413341741,linear_quadratic,diagonal,True,210.0
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,5,ok,15,2,0.0031370396905992643,full,diagonal,True,201.8
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,6,ok,11,2,2.0238243849536883e-06,linear_quadratic,diagonal,True,274.3
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,7,ok,13,2,5.8348848868451596e-06,full,diagonal,True,270.8
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,8,ok,15,1,0.002345581294765852,full,diagonal,False,87.0
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,9,ok,12,1,0.0006930286165837564,linear_quadratic,diagonal,True,217.70000000000002
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,10,ok,12,2,0.0023744805891490026,full,diagonal,False,87.0
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,11,ok,12,3,1.8377804876224526e-06,linear_quadratic,diagonal,False,249.70000000000002
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,12,ok,11,3,1.0494147282649402e-06,full,diagonal,False,270.3
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,13,ok,10,2,1.715748204929833e-06,full,diagonal,True,270.40000000000003
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,14,ok,10,2,1.599774871860147e-06,full,diagonal,False,212.10000000000002
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,15,ok,13,2,9.33050794408049e-05,linear_quadratic,diagonal,False,270.8
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,16,ok,13,2,0.00021030818725573482,full,diagonal,False,197.8
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,17,ok,12,2,0.001171259709069924,full,diagonal,False,142.3
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,18,ok,13,2,0.004137136933180746,linear_quadratic,diagonal,True,214.3
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,19,ok,11,1,0.00012727765297591606,full,diagonal,True,269.8
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,20,ok,15,2,1.1164359628034868e-06,linear_quadratic,diagonal,False,275.5
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,21,ok,11,3,1.0267196242420986e-06,linear_quadratic,diagonal,True,301.1
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,22,ok,11,2,1.9699654775622572e-05,linear_quadratic,diagonal,True,270.8
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,23,ok,13,2,5.333786201920452e-06,linear_quadratic,diagonal,True,275.3
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,24,ok,12,1,1.177221077368225e-05,linear_quadratic,diagonal,False,228.70000000000002
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,25,ok,16,2,0.008532144665083962,linear_quadratic,diagonal,False,162.20000000000002
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,26,ok,16,1,0.00014930555570453785,linear_quadratic,diagonal,True,253.9
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,27,ok,11,2,0.0007754026314824232,linear_quadratic,diagonal,True,235.0
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,28,ok,10,3,0.00013351413965286625,linear_quadratic,diagonal,False,217.4
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,29,ok,14,1,0.008875021265236132,full,diagonal,True,164.5
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,30,ok,17,1,9.058742596839282e-05,linear_quadratic,diagonal,True,260.6
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,31,ok,15,2,1.0163632031196999e-06,full,diagonal,False,252.10000000000002
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,32,ok,10,1,0.00010774222782959127,full,diagonal,True,263.2
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,33,ok,10,1,1.3075906978157541e-06,linear_quadratic,diagonal,True,273.2
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,34,ok,10,1,8.995725732272628e-06,full,diagonal,True,272.40000000000003
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,35,ok,10,2,1.0876717678019337e-06,linear_quadratic,diagonal,False,269.7
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,36,ok,10,2,1.05208217825943e-06,linear_quadratic,diagonal,False,269.7
