case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,context_steps,delay_spacing,ridge_alpha,feature_set,quadratic_mode,include_bias,valid_relative_l2_horizon_time
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,1,ok,17,2,0.0003191320520858535,full,diagonal,False,215.70000000000002
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,2,ok,11,3,2.6044249150345266e-06,linear_quadratic,diagonal,True,299.90000000000003
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,3,ok,15,3,0.00113949911632985,linear_quadratic,diagonal,False,217.20000000000002
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,4,ok,11,3,1.1469606336505296e-06,linear_quadratic,diagonal,False,254.9
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,5,ok,16,3,0.00019966962594709846,linear_quadratic,diagonal,False,217.8
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,6,ok,18,1,1.0665284626746231e-05,linear_quadratic,diagonal,True,272.0
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,7,ok,14,3,0.00014168020904281055,full,diagonal,True,260.7
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,8,ok,14,1,0.0001638823219650209,full,diagonal,True,272.1
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,9,ok,15,3,0.0022166464119272957,full,diagonal,False,151.6
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,10,ok,13,1,0.0009509810797424064,full,diagonal,False,119.10000000000001
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,11,ok,16,1,1.5673490242838814e-06,full,diagonal,False,218.8
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,12,ok,16,1,1.9129962766707533e-05,linear_quadratic,diagonal,False,229.20000000000002
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,13,ok,13,3,0.0001902662428779634,full,diagonal,True,268.6
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,14,ok,11,2,3.371082114334766e-05,full,diagonal,True,262.2
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,15,ok,16,1,9.510579669167513e-06,linear_quadratic,diagonal,False,236.10000000000002
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,16,ok,16,1,0.000783107095627984,linear_quadratic,diagonal,True,233.9
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,17,ok,15,2,7.786109346716164e-05,full,diagonal,False,195.5
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,18,ok,12,1,0.0016463530212411006,linear_quadratic,diagonal,False,120.0
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,19,ok,16,2,4.563392565834439e-06,full,diagonal,False,234.20000000000002
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,20,ok,14,2,0.00031929994643009976,linear_quadratic,diagonal,False,262.2
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,21,ok,12,2,1.3809246912448078e-05,full,diagonal,False,196.5
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,22,ok,16,3,0.0004778125727645988,linear_quadratic,diagonal,False,215.8
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,23,ok,10,2,0.0002589110653557161,linear_quadratic,diagonal,False,202.9
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,24,ok,11,1,0.000545782355390979,linear_quadratic,diagonal,True,218.60000000000002
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,25,ok,14,2,2.422311624583987e-06,full,diagonal,True,273.5
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,26,ok,15,3,0.00010252311099588507,full,diagonal,True,234.8
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,27,ok,14,1,1.5575380873057494e-05,linear_quadratic,diagonal,False,228.4
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,28,ok,13,1,1.2973830818671636e-05,full,diagonal,True,304.0
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,29,ok,13,1,0.00012702607718063054,linear_quadratic,diagonal,False,164.60000000000002
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,30,ok,17,1,3.336904126709251e-05,full,diagonal,False,163.10000000000002
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,31,ok,13,1,1.1170019446513948e-05,full,diagonal,True,329.6
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,32,ok,11,1,1e-06,full,diagonal,True,276.7
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,33,ok,14,1,2.079976375480935e-06,linear_quadratic,diagonal,True,273.7
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,34,ok,16,1,3.5824722249826184e-06,full,diagonal,True,274.5
