case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,context_steps,delay_spacing,ridge_alpha,feature_set,quadratic_mode,include_bias,valid_relative_l2_horizon_time
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),1,ok,2,1,0.0001409313750220833,full,diagonal,False,4.6000000000000005
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),2,ok,3,2,0.0022462577939354306,full,diagonal,True,8.3
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),3,ok,2,1,1.793552551401578e-05,linear_quadratic,pairwise,False,8.9
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),4,ok,7,2,0.0010449262964202083,full,pairwise,True,11.700000000000001
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),5,ok,5,1,0.01391467479269289,linear_quadratic,diagonal,False,4.5
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),6,ok,8,1,0.0003704371523391979,full,diagonal,True,8.6
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),7,ok,4,2,0.0014363107019417824,linear_quadratic,diagonal,True,12.0
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),8,ok,2,1,0.002706332457741539,full,pairwise,True,19.6
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),9,ok,3,2,0.02668212809101791,full,diagonal,True,6.7
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),10,ok,3,2,0.005397573768446749,linear_quadratic,pairwise,False,17.7
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),11,ok,7,2,0.0868527011903577,linear_quadratic,pairwise,False,18.1
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),12,ok,8,1,5.78917478854214e-05,full,diagonal,False,8.200000000000001
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),13,ok,7,2,0.0019059939306848195,linear_quadratic,pairwise,False,16.6
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),14,ok,5,2,0.03708423714610547,linear_quadratic,diagonal,False,9.8
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),15,ok,8,2,0.035260026981736824,full,diagonal,True,8.0
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),16,ok,5,1,1.0162908340732965e-05,linear_quadratic,diagonal,False,11.8
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),17,ok,4,1,0.01286421340112574,full,diagonal,False,5.5
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),18,ok,2,2,5.693173643372971e-05,linear_quadratic,pairwise,True,10.100000000000001
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),19,ok,2,1,0.0002367854342311181,full,pairwise,True,19.400000000000002
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),20,ok,6,2,0.024774845930702765,full,diagonal,True,8.700000000000001
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),21,ok,8,2,0.0074640904688847995,linear_quadratic,diagonal,False,8.4
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),22,ok,6,1,0.001655059082138025,full,pairwise,True,21.3
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),23,ok,8,2,4.154045466234334e-05,linear_quadratic,diagonal,False,9.4
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),24,ok,5,1,4.6448915168893114e-05,linear_quadratic,diagonal,False,12.4
