case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,context_steps,delay_spacing,ridge_alpha,feature_set,quadratic_mode,include_bias,valid_relative_l2_horizon_time
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),1,ok,4,1,0.0071133941758154354,full,diagonal,True,6.9
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),2,ok,8,1,0.0005293798196939954,full,pairwise,True,10.0
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),3,ok,5,2,0.0002188453249930073,full,diagonal,True,8.6
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),4,ok,3,1,0.006203330348101601,full,diagonal,True,5.7
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),5,ok,6,1,0.061566814688293635,full,pairwise,False,20.6
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),6,ok,7,2,2.4237383513446263e-05,linear_quadratic,pairwise,False,16.2
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),7,ok,5,1,0.0769279833677061,linear_quadratic,pairwise,True,21.0
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),8,ok,6,2,5.8491636227861423e-05,linear_quadratic,pairwise,True,12.600000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),9,ok,6,2,2.1724855380776936e-05,linear_quadratic,pairwise,True,13.100000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),10,ok,2,1,2.3275462846735175e-05,full,diagonal,False,4.6000000000000005
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),11,ok,4,2,0.00030653323888726126,linear_quadratic,pairwise,True,12.200000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),12,ok,3,2,1.795305253421719e-05,full,pairwise,True,8.3
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),13,ok,4,1,6.420085737404616e-05,linear_quadratic,diagonal,False,7.0
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),14,ok,6,2,0.00017458171849454792,linear_quadratic,pairwise,False,12.100000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),15,ok,6,2,9.511463560331955e-05,linear_quadratic,diagonal,True,9.4
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),16,ok,7,1,0.0030905996920770917,full,diagonal,False,8.9
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),17,ok,2,2,0.010741117846057824,full,pairwise,True,19.900000000000002
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),18,ok,8,1,0.004046412384189554,full,pairwise,False,20.0
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),19,ok,4,1,0.00021985170183391143,full,pairwise,True,23.0
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),20,ok,7,2,0.00035742248158351675,linear_quadratic,pairwise,True,16.900000000000002
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),21,ok,4,1,0.023663115651440917,full,diagonal,True,5.9
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),22,ok,6,2,1.1438728950107393e-05,linear_quadratic,diagonal,True,9.5
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),23,ok,8,1,0.013754313713192521,linear_quadratic,diagonal,False,10.9
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),24,ok,8,2,0.00015844564196527497,full,diagonal,True,8.6
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),25,ok,5,2,0.00016854786702718034,linear_quadratic,pairwise,True,11.5
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),26,ok,2,2,0.0013274940340275193,full,diagonal,False,4.5
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),27,ok,7,2,0.001538536932076811,linear_quadratic,diagonal,True,8.6
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),28,ok,6,1,1.3797524230279382e-05,linear_quadratic,diagonal,False,10.200000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),29,ok,6,1,0.0075978786287713256,linear_quadratic,pairwise,True,18.400000000000002
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),30,ok,6,1,0.08542457014324997,linear_quadratic,pairwise,True,20.5
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),31,ok,3,2,0.0017509423729015227,linear_quadratic,diagonal,False,10.4
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),32,ok,2,2,3.93541321752215e-05,linear_quadratic,pairwise,False,10.3
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),33,ok,3,1,0.09854153970159561,linear_quadratic,diagonal,False,4.800000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),34,ok,4,2,0.0008601013735976268,full,diagonal,True,9.3
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),35,ok,7,1,0.006573095974919766,full,diagonal,True,8.9
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),36,ok,6,1,1.5646218014333673e-05,linear_quadratic,diagonal,False,10.3
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),37,ok,7,2,1.1614834396944083e-05,linear_quadratic,diagonal,False,8.200000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),38,ok,7,2,1.1027434367341081e-05,linear_quadratic,diagonal,False,8.200000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),39,ok,7,2,9.994330280971772e-05,linear_quadratic,diagonal,False,8.3
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),40,ok,6,2,0.00010710334526622613,linear_quadratic,diagonal,True,9.3
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),41,ok,7,1,0.00012902789484517475,linear_quadratic,diagonal,True,10.4
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),42,ok,6,1,0.00018769654293199667,linear_quadratic,diagonal,True,12.200000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),43,ok,7,2,0.025706975494736602,full,pairwise,False,18.8
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),44,ok,2,2,0.0034407472496046135,linear_quadratic,diagonal,True,4.0
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),45,ok,7,1,1.639405082195031e-05,linear_quadratic,diagonal,False,9.200000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),46,ok,6,1,9.584963956709382e-05,linear_quadratic,diagonal,False,11.700000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),47,ok,6,2,0.001710289026250094,linear_quadratic,diagonal,False,9.200000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),48,ok,8,1,9.586514177112909e-05,linear_quadratic,diagonal,True,9.200000000000001
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),49,ok,8,1,9.003529239658442e-05,linear_quadratic,diagonal,False,9.0
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),50,ok,3,2,0.010620252602958886,full,pairwise,True,21.0
