case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,reservoir_size,spectral_radius,input_scaling,leaking_rate,ridge_alpha,sparsity,washout_steps,valid_relative_l2_horizon_time
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,1,ok,3000,0.18987169605542703,0.0955809812691595,0.29955929689306826,2.794888798876118e-05,0.02,200,9.0
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,2,ok,1000,0.08645261215744052,0.2604979608787726,0.25568977751850175,0.0033527484452994735,0.005,200,3.0
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,3,ok,1000,0.5796075636710212,0.14076892994915016,0.5116461935967525,0.0001262367516705158,0.01,200,3.5
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,4,ok,3000,0.09011828310557082,0.18852300511487857,0.19484603999164385,1.4599302945081442e-05,0.02,50,21.8
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,5,ok,3000,0.29563453188298194,0.1823293805265686,0.12522206578617032,0.008731628217610782,0.005,100,14.3
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,6,ok,3000,0.2455150002699093,0.035776098559521706,0.12075432012379192,3.3403608465108895e-06,0.005,200,8.9
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,7,ok,2000,0.0960588847577292,0.03123277078658034,0.41469283729294437,0.0021878737994552562,0.005,50,11.4
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,8,ok,1500,0.21792072004796606,0.1709334951847011,0.41658727915678373,1.3425040001390136e-05,0.005,100,15.3
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,9,ok,1000,0.4098593243263782,0.14756057804801137,0.21757205748871628,0.00028652722349276267,0.01,200,2.9000000000000004
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,10,ok,3000,0.4849302664679125,0.3375561521914235,0.22151792677511,7.056451445162173e-05,0.01,200,3.1
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,11,ok,1000,0.08900909457286653,0.09887235346235089,0.25280604262692724,6.529611451885491e-05,0.02,100,12.9
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,12,ok,3000,0.6406269002755969,0.053351807229091955,0.3035848913928607,0.0009768445368656391,0.02,100,13.700000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,13,ok,1500,0.20133214556507784,0.12795071058844257,0.36167205530710345,0.0005671442804030042,0.005,50,19.200000000000003
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,14,ok,3000,0.6068631506632546,0.2191514613113302,0.4819349810110194,1.0013520464498753e-05,0.005,100,12.8
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,15,ok,2000,0.4789182196586378,0.2961971812290532,0.22475930532847554,0.0024064482259063434,0.01,200,5.0
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,16,ok,1500,0.40938711414582013,0.2620808303413004,0.17228805893149773,0.0020326989793766023,0.02,100,13.100000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,17,ok,1500,0.17046534411568837,0.13516016919834406,0.38760903259938506,0.0010702476832917932,0.005,50,18.6
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,18,ok,3000,0.09119119864029684,0.12335632668643812,0.11261954485048578,0.0001238534922146573,0.005,50,18.8
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,19,ok,1500,0.08826770001160648,0.126228415979766,0.2036240116303189,6.220245865323727e-05,0.02,50,18.6
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,20,ok,3000,0.08474013069406171,0.12848086957333069,0.3022287375718833,1.8611748279052228e-05,0.02,50,18.6
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,21,ok,3000,0.11939794214605112,0.16701967020172714,0.33838020034773564,1.5492133741956535e-05,0.02,50,17.400000000000002
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,22,ok,1000,0.14073874581780918,0.18943143397010165,0.1722065815432165,1.4379392347081e-05,0.02,50,7.6000000000000005
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,23,ok,1500,0.09684668012674166,0.1849371166740554,0.3885355153126695,0.00016478947336502278,0.01,50,19.5
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,24,ok,1500,0.09802053822020128,0.1844034733618557,0.1903729000498151,0.0001998871303063302,0.01,50,17.400000000000002
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,25,ok,1500,0.0885686454704956,0.18825319989580108,0.20745585310383807,6.82306871420427e-05,0.005,50,15.5
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,26,ok,1000,0.5262242065930839,0.1349510135656642,0.2054055163908856,5.572409822501234e-06,0.01,50,5.4
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,27,ok,3000,0.20297365676629983,0.13679601869531194,0.3766776427171341,8.785201900344049e-05,0.01,50,25.5
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,28,ok,3000,0.09928927864089929,0.3737301483012686,0.3993710221798429,4.3869345681939395e-06,0.01,50,11.100000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,29,ok,3000,0.24522888923598105,0.10958042214474979,0.3270127895463818,0.008588997133525107,0.01,50,16.8
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,30,ok,3000,0.21107915286466297,0.12766405045369525,0.3823929807857446,3.229212651570383e-05,0.005,50,18.3
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,31,ok,1000,0.09276248656887787,0.09034316378423332,0.38411724607335374,8.59828196165353e-05,0.01,50,18.3
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,32,ok,1000,0.18933493712330784,0.13868439638361785,0.13616682069102135,2.8731401453951686e-05,0.02,50,12.0
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,33,ok,3000,0.20364892119205003,0.11193118628482603,0.3744021141260232,4.234123358962069e-05,0.02,50,22.0
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,34,ok,3000,0.50552301648837,0.08222177267067445,0.3779556457818086,9.692708074277945e-05,0.02,50,19.700000000000003
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,35,ok,3000,0.09190676199206715,0.03081330937928383,0.3720908454881202,0.0004864893229256387,0.005,50,11.600000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,36,ok,1500,0.16414544063109363,0.1126926438390236,0.3747479200744599,3.6323769100504413e-06,0.01,100,14.0
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,37,ok,3000,0.20601251843934665,0.08068394785360919,0.5102568354522327,0.0005488608152812328,0.005,50,18.7
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,38,ok,3000,0.20465218158602244,0.31072063532203525,0.3770542943939348,0.0002476514705620225,0.02,50,5.7
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,39,ok,3000,0.08682342721538733,0.3118213757627477,0.3156819800908647,3.546921827219238e-05,0.02,50,12.0
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,40,ok,1000,0.36862443054546234,0.07322379824052354,0.229518449356801,1.3200516101173669e-06,0.01,50,5.6000000000000005
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,41,ok,1000,0.730329171971407,0.08537101400571058,0.5226800626205805,0.0004321358326719653,0.02,50,12.9
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,42,ok,1500,0.09624372908771749,0.1704998490560529,0.1278755304558499,1.7235886240656983e-06,0.005,50,12.600000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,43,ok,2000,0.6159652160443444,0.32101148082859426,0.3729819208502738,0.00031877056325649,0.02,50,14.8
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,44,ok,3000,0.2041366647735362,0.0637741454743315,0.37668309229557617,2.798577547531178e-05,0.01,50,19.700000000000003
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,45,ok,1000,0.08190470043368207,0.03553638763389721,0.10046915485002952,1.3043892389122059e-06,0.01,100,8.200000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,46,ok,3000,0.3677067977669963,0.3154633729525221,0.37556341882307354,0.0001170021185526652,0.02,50,6.6000000000000005
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,47,ok,3000,0.774309739594279,0.3626765897127189,0.5824220182532404,4.755841765819938e-05,0.005,50,6.4
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,48,ok,1000,0.09936963384524732,0.16124398468979337,0.3672543495223406,2.0275110679887698e-05,0.005,50,6.4
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,49,ok,1000,0.08564592155490354,0.058838040556887385,0.3897413248047725,2.0328042517198976e-05,0.01,50,19.700000000000003
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,50,ok,1000,0.08766704856359059,0.15080495941769637,0.5337937179931397,1.526010915522646e-05,0.01,50,16.2
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,51,ok,1000,0.08952469596179237,0.05999349284433921,0.3936234975359152,2.017007079574992e-05,0.005,50,18.400000000000002
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,52,ok,1000,0.2026282453583881,0.13067478658317258,0.44057567974347145,0.0006930576679538844,0.01,50,14.100000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,53,ok,1000,0.08101251790216157,0.19176914485351823,0.4716768411266522,0.00016121654807023185,0.01,50,15.200000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,54,ok,1500,0.20300024417832985,0.08598809820391638,0.37133517660385007,0.00013899084552779412,0.02,50,18.7
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,55,ok,2000,0.6787809312499241,0.07104184692033076,0.3582233087786669,2.613754861994106e-05,0.01,50,20.3
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,56,ok,3000,0.4735752513395814,0.07059497198903203,0.3614726130819753,2.2785822993048625e-05,0.01,50,19.8
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,57,ok,1000,0.09950919588538902,0.09990845091669982,0.13973964610509518,1.4620042329897051e-05,0.005,50,10.9
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,58,ok,1000,0.4888400600832217,0.060125863580690234,0.3655966788430114,4.29022270231995e-06,0.02,50,12.100000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,59,ok,2000,0.297340535374891,0.06541204977467145,0.3941731170923447,1.128732033021719e-06,0.005,50,20.3
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,60,ok,2000,0.6056341411558135,0.0629732631750444,0.3901208263755561,1.039399936275691e-06,0.005,50,25.400000000000002
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,61,ok,1000,0.5606644910888596,0.11011982822325711,0.4093700020313319,1.0141402017037779e-06,0.02,50,6.300000000000001
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,62,ok,2000,0.2545403896209949,0.07674128552565429,0.38344611348729374,1.068678529814566e-06,0.005,50,19.0
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,63,ok,1000,0.08255345218445263,0.07205399255327957,0.3696912885802798,0.0004741976802556952,0.02,50,17.8
