case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,hidden_dim,learning_rate,beta_multistep,lambda_phy,multistep_horizon,random_seed,depth,epochs,valid_relative_l2_horizon_time
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,78,ok,256,0.0004215034148141,0.6650947860786759,1.5543940821390577e-08,8,27194001,4,100,21.8
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,79,ok,256,0.000415893897153,0.7518084120752917,1.8152401158863585e-08,8,27194001,4,100,21.3
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,76,ok,256,0.000411684229856,0.8599351119855996,1.3073461219498881e-08,8,27194001,4,100,20.700000000000003
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,46,ok,256,0.0004149150846403,0.8741355641518138,2.5235986260621917e-08,8,27194001,4,100,20.700000000000003
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,44,ok,256,0.0004156251565474,0.8821160659711379,2.4570974247465043e-08,8,27194001,4,100,20.700000000000003
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,73,ok,256,0.0004051695278903,0.8796467741616727,2.3414810945305403e-09,8,27194001,4,100,20.6
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,77,ok,256,0.0004098281115447,0.8878639238355,2.227230619517418e-09,8,27194001,4,100,20.6
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,67,ok,256,0.0004164140439869,0.8953239978598166,1.4695979282435752e-08,8,27194001,4,100,20.6
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,54,ok,256,0.0004087430493508,0.88216456013199,3.473595992307798e-09,8,27194001,4,100,20.6
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,56,ok,256,0.0004113979027267,0.9251494002613162,4.0591179065583525e-09,8,27194001,4,100,20.5
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,75,ok,256,0.0004118257907016,0.9438924441211848,1.3224169520648682e-08,8,27194001,4,100,20.5
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,71,ok,256,0.0004213057348459,0.9068321464866912,1.3609723329102016e-08,8,27194001,4,100,20.5
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,69,ok,256,0.0004101668829576,0.9580169722978704,7.325295837990456e-09,8,27194001,4,100,20.5
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,65,ok,256,0.0004183737355331,0.9226881042597022,6.908168127149844e-09,8,27194001,4,100,20.5
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,68,ok,256,0.0004056782797447,0.903971901778824,5.9215585139540554e-09,8,27194001,4,100,20.5
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,74,ok,256,0.0004085219612236,0.9393487974849146,1.5045755634712544e-08,8,27194001,4,100,20.5
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,58,ok,256,0.0004055833141562,0.9185714523996062,1.2535009260677164e-09,8,27194001,4,100,20.4
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,59,ok,256,0.0004023773002842,0.8923491059918719,2.0053390777748453e-09,8,27194001,4,100,20.4
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,51,ok,256,0.0004231681277302,0.8728596585874255,3.096156229934388e-09,8,27194001,4,100,20.4
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,72,ok,256,0.0004220864114859,0.962618523869792,2.2541989251198684e-09,8,27194001,4,100,20.4
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,62,ok,256,0.0004237065779822,0.91817524849227,2.697191188384228e-09,8,27194001,4,100,20.3
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,61,ok,256,0.000425165854626,0.9288314291091706,2.7208928406440812e-09,8,27194001,4,100,20.3
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,64,ok,256,0.0004050546369099,0.9517022266872288,1.879627097497159e-09,8,27194001,4,100,20.3
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,49,ok,256,0.0003964051344586,0.8736344113366213,1.2348469936810784e-09,8,27194001,4,100,20.200000000000003
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,63,ok,256,0.0003969176455751,0.9314939805769982,3.833873139828879e-09,8,27194001,4,100,20.0
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,27,ok,256,0.000388902134528,0.8763610099203358,2.3082434146475132e-08,8,27194001,4,100,19.700000000000003
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,35,ok,256,0.0003786949458877,0.8695127213889818,2.651473423879552e-08,8,27194001,4,100,19.0
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,21,ok,384,0.000422684858958,0.8806144580115595,2.5668927043568423e-08,8,27194001,4,100,18.8
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,31,ok,256,0.0003685876065527,0.820873173244757,2.424761086061078e-08,8,27194001,4,100,18.6
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,33,ok,256,0.000370889779814,0.8637539261073582,2.70683198211968e-08,8,27194001,4,100,18.5
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,43,ok,256,0.0003718459086256,0.8705568383192361,4.465629464016384e-09,8,27194001,4,100,18.4
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,26,ok,256,0.0003724338906939,0.8787528736486342,2.3207683084655454e-08,8,27194001,4,100,18.4
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,55,ok,384,0.0004223214592684,0.8736168289354129,1.0514151995105696e-09,8,27194001,4,100,18.2
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,37,ok,256,0.00037907072473,0.948992501198499,2.5010676796893597e-08,8,27194001,4,100,18.2
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,41,ok,256,0.000371655788436,0.9316243095123028,2.4161251287231123e-08,8,27194001,4,100,17.8
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,4,ok,384,0.0003504601569363,0.9563141450737016,4.9065714049430056e-08,7,27194001,4,140,17.8
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,38,ok,256,0.0003799631567874,0.891453021672054,2.3813746335097986e-08,8,27194001,4,120,17.6
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,13,ok,256,0.0004399129426251,0.8721090832787399,6.672415314259589e-09,9,27194001,3,100,17.3
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,3,ok,192,0.0003344076710637,0.9422665817509852,5.2055926797461664e-08,8,27194001,3,140,15.9
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,8,ok,224,0.000258793911824,0.8142979680037274,5.0785390953723354e-09,8,27194001,4,100,15.7
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,80,ok,256,0.000418271581287,0.6983779074150412,1.309989180117106e-08,8,27194001,4,120,14.3
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,5,ok,384,0.0002036329255247,0.8317813808876081,3.5654888428148786e-08,8,27194001,4,120,14.1
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,53,ok,256,0.0004277585560444,0.8693511236554679,1.6394596979130915e-09,8,27194001,4,120,13.3
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,20,ok,384,0.000330801254817,0.9826733633298516,7.8881543993719e-08,8,27194001,4,120,12.6
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,10,ok,384,0.0003481331404871,0.8651203046284714,5.5051929962349934e-08,8,27194001,4,120,12.4
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,39,ok,256,0.0003647737424852,0.8920570839816554,2.539530250714777e-08,8,27194001,4,140,11.5
pinn_latent8,PINN,latent8,forest,pinn_latent8_optimizer_search_v001,0,single-stage final,60,ok,256,0.0004125862078495,0.8966522857858343,1.605080552116923e-09,9,27194001,4,100,11.3
