case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,reservoir_size,spectral_radius,input_scaling,leaking_rate,ridge_alpha,sparsity,washout_steps,valid_relative_l2_horizon_time
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,1,ok,1000,0.62714660931819,0.07460213438123114,0.14341794966127713,0.09180534371675066,0.02,100,11.600000000000001
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,2,ok,2000,0.5133488317798932,0.061097559811763645,0.38146510987294824,0.3274713710670662,0.005,50,14.5
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,3,ok,3000,0.1769644707839126,0.12187924617014265,0.11121878497632037,0.0932343278203535,0.005,100,18.2
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,4,ok,2000,0.35866087746202624,0.03573364980137884,0.32538213641881003,0.0007671211087306965,0.02,50,13.4
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,5,ok,2000,0.38773596953694645,0.06354945622583551,0.3473888294677875,2.610668398990265e-05,0.01,100,21.0
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,6,ok,3000,0.291536712833242,0.24962221660750725,0.24305955068438945,0.019972408185107066,0.005,100,14.0
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,7,ok,2000,0.196465211761572,0.24019329775173123,0.2576619121927828,1.60146542313437e-05,0.01,100,11.600000000000001
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,8,ok,2000,0.16981982733023973,0.04635856467894463,0.5120592470410305,0.3744066833898868,0.005,50,10.5
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,9,ok,2000,0.24925683376741692,0.04390828743415842,0.4398779006314023,0.0019480367467041983,0.01,100,11.9
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,10,ok,1000,0.4115083736609272,0.08141719466449296,0.16811927498684143,0.013437804489546302,0.02,50,19.1
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,11,ok,3000,0.41430655083771456,0.1894926526432949,0.4545269264968988,0.9316865305358702,0.01,100,9.8
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,12,ok,1000,0.5891850431812145,0.04027260596962279,0.23899543935962775,4.442469863339864e-05,0.005,100,4.7
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,13,ok,1000,0.5122819533186036,0.23109151252566887,0.32165644562567275,0.023892460645532222,0.01,50,12.600000000000001
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,14,ok,3000,0.5633930558722602,0.05101884422969643,0.5458087705104392,0.021747755251311507,0.02,100,14.600000000000001
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,15,ok,1000,0.5657732209678448,0.1898940122962927,0.3887428552580551,9.227421350884211e-05,0.005,50,7.9
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,16,ok,3000,0.17946735895382743,0.11440690528909928,0.5389081180150276,0.002434364671179394,0.02,100,13.0
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,17,ok,1000,0.39617430092982425,0.07980436062621783,0.14826656923928166,0.00025681199211497586,0.02,50,17.3
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,18,ok,1000,0.38339724773243583,0.06957887051493727,0.09460382798316688,5.020541663929606e-05,0.01,100,11.0
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,19,ok,3000,0.39072771443782595,0.1143899210457962,0.2004354497822819,2.082044941674933e-05,0.005,50,23.6
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,20,ok,3000,0.3925965928280567,0.11574449896977088,0.13434028330119885,2.4086435114218547e-05,0.005,50,18.6
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,21,ok,3000,0.45801965066752137,0.09077651234194314,0.2099374555510251,1.024973073445567e-05,0.005,50,25.5
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,22,ok,3000,0.5959522446541167,0.1196730811905757,0.18512596998495223,1.8350682732788516e-05,0.005,100,13.3
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,23,ok,3000,0.6384599747905624,0.03232688862927058,0.22080394431891065,2.1833802401939322e-05,0.02,50,8.5
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,24,ok,3000,0.6211743548615586,0.11262977919382888,0.19520497571336165,1.0561374849842419e-05,0.005,50,18.400000000000002
rc_full64,RC,full64,forest,rc_full64_optimizer_search_v002,0,single-stage final,25,ok,3000,0.5111305792443632,0.03863420805111654,0.1956568765025572,1.6007740267054894e-05,0.005,50,18.7
