case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,reservoir_size,spectral_radius,input_scaling,leaking_rate,ridge_alpha,sparsity,washout_steps,valid_relative_l2_horizon_time
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,1,ok,1000,0.6008827654152562,0.03998687756168118,0.16181776686807736,6.229226796327083e-05,0.01,100,5.5
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,2,ok,2000,0.4936195779554785,0.0442817648710725,0.2063067395521323,0.01281245233044552,0.01,100,11.700000000000001
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,3,ok,2000,0.5573911998054957,0.0844551207887267,0.3382074188423825,0.5038959193793281,0.005,100,11.700000000000001
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,4,ok,2000,0.26173050278744037,0.06042546976085761,0.24972683720858652,0.0033319053678451368,0.01,50,22.0
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,5,ok,2000,0.39611121178625835,0.18509336901611168,0.5323210083710216,0.0041631850641036085,0.005,100,13.600000000000001
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,6,ok,3000,0.15064614941050639,0.08450612551458928,0.12238839520759749,0.004929378624184791,0.01,50,28.8
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,7,ok,3000,0.31592259883330776,0.067435748171576,0.33129589982852087,0.3375456739366935,0.005,100,12.5
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,8,ok,2000,0.4825626086788152,0.03520491942072957,0.3433717317479488,0.02617692031184476,0.01,50,9.3
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,9,ok,1000,0.4743563398355764,0.03155767349252264,0.354034687795376,1.8919618661405466,0.01,50,3.6
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,10,ok,2000,0.23356087767469064,0.1877117337650694,0.40858903433840243,0.0003101799116892717,0.02,50,17.0
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,11,ok,2000,0.4087871501522586,0.05264821803379606,0.4199438452413242,2.8261320097815146e-05,0.005,100,13.100000000000001
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,12,ok,2000,0.19822803311482792,0.03808487917312463,0.31189888998981913,0.0026223395078308494,0.005,50,9.0
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,13,ok,3000,0.3732108323605673,0.07807381676543801,0.4991156236479996,0.20458956985649793,0.01,100,12.700000000000001
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,14,ok,2000,0.4894661578046822,0.03499367399627675,0.39251133071130573,0.0009438769284624667,0.01,50,12.5
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,15,ok,1000,0.4135838146349075,0.10252485821234712,0.19683876994059765,1.787550098966109e-05,0.005,50,10.5
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,16,ok,3000,0.16212840665654954,0.04925181974139239,0.4005194988987802,0.0001436805213885465,0.01,100,14.0
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,17,ok,2000,0.1292319163656987,0.07996000596497521,0.11111920868568642,0.0013422565640110102,0.01,50,18.7
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,18,ok,3000,0.12552218756347958,0.061146762910000735,0.1371418705090301,0.21267887430042026,0.005,100,13.200000000000001
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,19,ok,3000,0.21127603969624437,0.23002746959890072,0.08013360107913253,0.010784498178552312,0.01,50,18.1
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,20,ok,1000,0.17344496719891497,0.08686224774415564,0.0946789038872525,0.0012130650476976975,0.01,50,13.0
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,21,ok,3000,0.12411654606440614,0.0636751634021281,0.1013093476327726,0.006587003373765797,0.01,50,15.5
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,22,ok,3000,0.26479588231588064,0.036201781320271846,0.09784087887341043,1.3454834673151446,0.02,50,8.4
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,23,ok,3000,0.12641568398838354,0.11747049103100388,0.17204822542385118,0.0038992192083187978,0.01,50,23.900000000000002
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,24,ok,3000,0.1439289778049308,0.1640867647278583,0.23599979534506194,0.004933645073997889,0.01,50,19.200000000000003
rc_full64,RC,full64,gbrt,rc_full64_optimizer_search_v002,0,single-stage final,25,ok,3000,0.15176213666855487,0.12874112670139215,0.12298327634676481,0.010191733454498931,0.01,100,17.6
