case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,reservoir_size,spectral_radius,input_scaling,leaking_rate,ridge_alpha,sparsity,washout_steps,valid_relative_l2_horizon_time
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,1,ok,1000,0.2382804142887538,0.07249675005858579,0.2990061920644377,0.0026740400797144073,0.02,50,17.1
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,2,ok,3000,0.5732229878266254,0.13311020023303305,0.09307950650106026,0.008612910248474567,0.005,100,14.600000000000001
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,3,ok,1000,0.27796071583467163,0.059714096379344536,0.29333121472013707,8.674858250711044e-05,0.01,100,13.9
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,4,ok,2000,0.5715738463782207,0.030352227223522998,0.4508811850005131,1.1440691676614576e-05,0.02,50,17.400000000000002
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,5,ok,1000,0.5379090561117605,0.058211978249283265,0.288647002609103,1.0694270990776432e-05,0.005,50,17.6
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,6,ok,2000,0.12442804405636751,0.18271516502766283,0.34433447707566683,0.00048085473368624524,0.005,50,17.1
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,7,ok,2000,0.4759087051740811,0.2033258854649039,0.31447141175114995,0.0022319306909400717,0.02,50,18.400000000000002
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,8,ok,2000,0.23500310562732152,0.15142877501002136,0.3555903340857819,3.236955288142839e-05,0.01,100,15.100000000000001
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,9,ok,1000,0.4137166718460144,0.07813335241796034,0.15294364175524588,0.22075343724879998,0.005,100,12.3
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,10,ok,1000,0.5969201488086664,0.08081034352049699,0.15621774555001167,0.2987478239596452,0.02,50,16.7
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,11,ok,2000,0.5287490879314448,0.07226401436160396,0.3649614048076103,9.030018127147672e-05,0.01,100,14.4
rc_full64,RC,full64,gp,rc_full64_optimizer_search_v002,0,single-stage final,12,ok,2000,0.22499032250625184,0.0766311187540348,0.4352280065077437,0.2981821734596447,0.005,50,18.6
