case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,trial,status,reservoir_size,spectral_radius,input_scaling,leaking_rate,ridge_alpha,sparsity,washout_steps,valid_relative_l2_horizon_time
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,1,ok,1500,0.08245696580134007,0.1482458610914605,0.6520839565915552,0.00884594342391451,0.02,100,19.5
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,2,ok,1500,0.3766739360374436,0.27239240183619806,0.6031080960163518,0.6708387610108847,0.02,100,13.5
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,3,ok,500,0.6087252450523503,0.33555626715033826,0.6173341150851417,1.0156009875156817,0.005,50,12.4
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,4,ok,1500,0.4969447084484863,0.08916472089344556,0.43821351525781893,0.021006972773080106,0.01,50,19.6
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,5,ok,300,0.28318761011051147,0.1252244278969919,0.4865398073756556,0.05931803262878965,0.005,50,10.600000000000001
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,6,ok,500,0.5599569690548108,0.2063168546757381,0.613575676728307,0.12244635539233607,0.01,50,18.400000000000002
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,7,ok,1000,0.27153838708029443,0.1084845780016001,0.21364494868635361,1.529529225772697,0.01,50,9.1
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,8,ok,500,0.5863020914746302,0.3833828895849128,0.5941052640552205,0.0025898149808605032,0.01,50,15.8
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,9,ok,1000,0.3157720064336484,0.2268295579021253,0.34397063952990725,0.08553996048778886,0.005,50,18.900000000000002
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,10,ok,500,0.4607628429331049,0.24302238629719966,0.3961856062577826,0.009108866336757787,0.01,50,16.5
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,11,ok,1000,0.18668500990871212,0.10568144168880936,0.20946419602306776,0.051015545112455686,0.005,100,16.3
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,12,ok,300,0.3070052629226506,0.08955701545528372,0.5236649470031586,0.003230035808748581,0.02,100,8.8
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,13,ok,300,0.13276925258766342,0.10765347699354601,0.4663234217863037,0.14132880421459829,0.01,100,4.6000000000000005
rc_latent8,RC,latent8,forest,rc_latent8_optimizer_search_v002,0,single-stage final,14,ok,300,0.5060766255367802,0.17645286264072613,0.2733867403521224,0.015989596586563445,0.02,100,12.700000000000001
