case_id,model,representation,optimizer,source_run_id,source_search_order,search_stage,source_relative_path,source_sha256,source_row_count,extracted_relative_path,extracted_sha256,extracted_row_count,required_parameter_count,canonical_config_relative_path
ngrc_full64,NGRC,full64,dummy,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,experiments/forecasting/ngrc/search/optimizer/ngrc_full64_optimizer_search_v003_stable_ridge/dummy/optimizer_results.csv,5cb5689bb963f25fa99dbd04f45b1f379ede4514fb286d2e03ff53753002c16e,120,ngrc_full64/dummy/optimizer_results.csv,e4b4970b7dde2f0c8e800d02773c4904e9d11de71b8e11af758b7c0660687f7c,120,6,final_thesis_package_v001/configs/03_plots/optimizer_search_ngrc.json
ngrc_full64,NGRC,full64,forest,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,experiments/forecasting/ngrc/search/optimizer/ngrc_full64_optimizer_search_v003_stable_ridge/forest/optimizer_results.csv,58665cb5634171bb4e3c5f7de86ca24dd5f1a5e8ffca1688e2841c722a0966b1,120,ngrc_full64/forest/optimizer_results.csv,a4bdd88c5d0f3eb7f510f0a10b245560005c011d1a27f0d5e2e50156c41b7178,120,6,final_thesis_package_v001/configs/03_plots/optimizer_search_ngrc.json
ngrc_full64,NGRC,full64,gbrt,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,experiments/forecasting/ngrc/search/optimizer/ngrc_full64_optimizer_search_v003_stable_ridge/gbrt/optimizer_results.csv,a2aadd5f99aa337019a96a142ea2899983800539719014153ba62d56cf4730dd,120,ngrc_full64/gbrt/optimizer_results.csv,3af23e317493b2442b2fc7b2675c5bcffcbcc53f0b52c2ac22e361415da55676,120,6,final_thesis_package_v001/configs/03_plots/optimizer_search_ngrc.json
ngrc_full64,NGRC,full64,gp,ngrc_full64_optimizer_search_v003_stable_ridge,0,single-stage final,experiments/forecasting/ngrc/search/optimizer/ngrc_full64_optimizer_search_v003_stable_ridge/gp/optimizer_results.csv,77ca1c9353fcb64235834b47136136686435207947ee3c6a86b879dfc5e260a8,120,ngrc_full64/gp/optimizer_results.csv,9d6f23170b1dbebab51e71f54873ecd5d91d8279a33f10fc0545cf52fd63e454,120,6,final_thesis_package_v001/configs/03_plots/optimizer_search_ngrc.json
ngrc_latent8,NGRC,latent8,dummy,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),experiments/forecasting/ngrc/search/optimizer/ngrc_latent8_optimizer_search_v002/dummy/optimizer_results.csv,ec3b666746accf81d8e42c3e0dc31f5b08796ac4ab703c1f348f183020b5f1d9,140,ngrc_latent8/dummy/optimizer_results.csv,99de02488dad95a26ec901bab5af6e1de82ff023adcac99bb5784caa831917f4,140,6,final_thesis_package_v001/configs/03_plots/optimizer_search_ngrc.json
ngrc_latent8,NGRC,latent8,forest,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),experiments/forecasting/ngrc/search/optimizer/ngrc_latent8_optimizer_tree_search_v002/forest/optimizer_results.csv,e1209c74bcbe55116df1a731a004e534e5d4918c8d6278497b6cd2a792340c33,140,ngrc_latent8/forest/optimizer_results.csv,45788db4d100e79f283e211b047aa266f785a7883a8d68a0833b2ae69cbf04f7,140,6,final_thesis_package_v001/configs/03_plots/optimizer_search_ngrc.json
ngrc_latent8,NGRC,latent8,gbrt,ngrc_latent8_optimizer_tree_search_v002,1,final (forest+gbrt leg),experiments/forecasting/ngrc/search/optimizer/ngrc_latent8_optimizer_tree_search_v002/gbrt/optimizer_results.csv,177e42d7f3884158ac567fcdc1bb46a6ef50d953c86821f6df0feb6e79dbcae2,140,ngrc_latent8/gbrt/optimizer_results.csv,3a537b83456c99bf06fd1d6bc32b6e3b02ee5cfbc5810778fed7f8ad9276a5d6,140,6,final_thesis_package_v001/configs/03_plots/optimizer_search_ngrc.json
ngrc_latent8,NGRC,latent8,gp,ngrc_latent8_optimizer_search_v002,0,final (dummy+gp leg),experiments/forecasting/ngrc/search/optimizer/ngrc_latent8_optimizer_search_v002/gp/optimizer_results.csv,596839cb88e5dea26fd39a9d201190d61b176478ca05aaf757740805ffcd8a69,140,ngrc_latent8/gp/optimizer_results.csv,ef6ab38e48b6b98db471a4fd52fcda8e63cdd8211f1f7a1b49dee6cb72350a7c,140,6,final_thesis_package_v001/configs/03_plots/optimizer_search_ngrc.json
perc_full64,PERC,full64,dummy,perc_full64_optimizer_search_v003,0,single-stage final,experiments/forecasting/perc/search/optimizer/perc_full64_optimizer_search_v003/dummy/optimizer_results.csv,c6708af1ddeeedfdbe543315c3fea02bebc9fde6e0becea56cff2dc0d6e1bfba,80,perc_full64/dummy/optimizer_results.csv,03b4e11255e5cf13cb4c43a94059b69de462c8397af3701117ee622eb85fc684,80,7,final_thesis_package_v001/configs/03_plots/optimizer_search_perc.json
perc_full64,PERC,full64,forest,perc_full64_optimizer_search_v003,0,single-stage final,experiments/forecasting/perc/search/optimizer/perc_full64_optimizer_search_v003/forest/optimizer_results.csv,90382ed4d21fd2eef15693315963b4c2c099cea12e7598553cc771142c0297a6,80,perc_full64/forest/optimizer_results.csv,6201d3dfc2574762c824a7471d358e50d9fac9b09ac40d5a36647eb54410e0ac,80,7,final_thesis_package_v001/configs/03_plots/optimizer_search_perc.json
perc_full64,PERC,full64,gbrt,perc_full64_optimizer_search_v003,0,single-stage final,experiments/forecasting/perc/search/optimizer/perc_full64_optimizer_search_v003/gbrt/optimizer_results.csv,f5c5d25a7fd09654b7e1978cd66b2f4534d4392a4e0b64a35502cdd18d218513,80,perc_full64/gbrt/optimizer_results.csv,9c65d97d9cd4a5828c73feb70732c8de285492f15945744ec436fabe69e1c9c2,80,7,final_thesis_package_v001/configs/03_plots/optimizer_search_perc.json
perc_full64,PERC,full64,gp,perc_full64_optimizer_search_v003,0,single-stage final,experiments/forecasting/perc/search/optimizer/perc_full64_optimizer_search_v003/gp/optimizer_results.csv,e8500d15508aa6dea9ecf53785208ca142d4cc32b5e13d825718bd69b21afbb2,80,perc_full64/gp/optimizer_results.csv,63ff3fb1c8de03a7a22d1f00dd6d937e20d9659e9db57ee06c5c5763da5925fe,80,7,final_thesis_package_v001/configs/03_plots/optimizer_search_perc.json
perc_latent8,PERC,latent8,dummy,perc_latent8_optimizer_search_v002,0,single-stage final,experiments/forecasting/perc/search/optimizer/perc_latent8_optimizer_search_v002/dummy/optimizer_results.csv,8e7fbd30394037a661aac66e9a41e496ac5365516fda90ff5920404a1a7837b8,100,perc_latent8/dummy/optimizer_results.csv,b779f18577bda0a6aa317b5eb90bde2467f997b3d863b8519a53020fc6c05e20,100,7,final_thesis_package_v001/configs/03_plots/optimizer_search_perc.json
perc_latent8,PERC,latent8,forest,perc_latent8_optimizer_search_v002,0,single-stage final,experiments/forecasting/perc/search/optimizer/perc_latent8_optimizer_search_v002/forest/optimizer_results.csv,f812427d6a7a836ecd72c6b8840ed93c9160a41fc6d4e1a90eaf888ffddd10a7,100,perc_latent8/forest/optimizer_results.csv,8a0c0140cd247a06a17726666a8846d81b24d7fc3c1ce327e0fdbc472d6c07d6,100,7,final_thesis_package_v001/configs/03_plots/optimizer_search_perc.json
